Title,Date,Start Time,End Time,Location,Description
ASCP Geriatric Pharmacist Boot Camp - DAY 1,2025-03-19,12:00:00,18:00:00,104DE - Music City Center,"ASCP will host its annual Geriatric Pharmacist Boot Camp from March 19-20, 2025. Boot Camp will be offered BOTH in person and live streamed. This year's in person option will lead off APhA’s Annual Meeting in Nashville, TN. Learn more below. Based on the Board of Pharmacy Specialties (BPS) Content Outline , this workshop helps participants either prepare for the 2025 exam or to refresh their knowledge of geriatric principles by working through practice skills and clinical case topics with other pharmacists and subject matter experts. Registration is now open: https://bootcamp.ascp.com/"
ASCP Geriatric Pharmacist Boot Camp - DAY 2,2025-03-20,07:30:00,16:30:00,104DE - Music City Center,"ASCP will host its annual Geriatric Pharmacist Boot Camp from March 19-20, 2025. Boot Camp will be offered BOTH in person and live streamed. This year's in person option will lead off APhA’s Annual Meeting in Nashville, TN. Learn more below. Based on the Board of Pharmacy Specialties (BPS) Content Outline , this workshop helps participants either prepare for the 2025 exam or to refresh their knowledge of geriatric principles by working through practice skills and clinical case topics with other pharmacists and subject matter experts. Registration is now open: https://bootcamp.ascp.com/"
APhA-ASP National Executive Committee Meeting (closed session),2025-03-20,08:00:00,19:00:00,Board Room B - Music City Center,
APhA’s Practical Approach to Sterile Compounding,2025-03-20,08:00:00,17:30:00,101AB - Music City Center,"Calling all Compounders! Learn practical information about how to ensure regulatory compliance, quality control and training your staff in the most efficient manner from experts practicing in the field of sterile compounding. This course package will be offered live on Thursday, March 20th at APhA's annual meeting and offers current BCSCP specialists an opportunity to earn 7 hours of board recertification and ACPE credit.  The recorded course and assessment will be available for BPS credit until May 6, 2025. To earn recertification credit, you must successfully complete the assessment. You must register in advance to attend. https://learn.pharmacist.com/pages/21/apha-learning-library-home?ctl11=category_id-72 This is being held in conjunction with APhA's Annual Meeting , however, r egistration for annual meeting is not required to register for this program."
APhA's Pharmacy-based Test and Treat Certificate Program,2025-03-20,08:00:00,17:00:00,105AB - Music City Center,"The APhA's Pharmacy-based Test and Treat certificate program empowers pharmacists to perform diagnostic tests in an in-person clinical setting. This pharmacist-led service increases patients’ access to health care by allowing pharmacists to perform appropriate physical assessments and diagnostic tests and to treat patients based on a combination of physical and diagnostic test results. Comprised of a 12-hour home-study and an 8-hour live seminar, this program provides a total of 20-hours of CPE credit for pharmacists. *APhA's Pharmacy-based Test and Treat certificate training program is a joint program between APhA and the University of Florida College of Pharmacy. The program was developed by the University of Florida. You must register in advance to attend this program. https://learn.pharmacist.com/pages/21/apha-learning-library-home?ctl11=category_id-72 This is being held in conjunction with APhA's Annual Meeting , however, r egistration for annual meeting is not required to register for this program."
APhA SCDI® for Community-based Pharmacy Residency Education and Training,2025-03-20,08:00:00,17:00:00,103C - Music City Center,"APhA Systematic Curriculum Design and Implementation (SCDI®) is the only pharmacy residency training and education program created to specifically assist new and existing Community-based Pharmacy Residency Programs with the systematic design, development, and implementation of community-based, longitudinal structured pharmacy residency programs. APhA SCDI® participants will learn and apply established principles, structure, and methods from educational curriculum design and educational theory to create new or enhance existing residency programs. The education and training program is designed for CPRP Directors, Coordinators, Preceptors, and other individuals involved in PGY1 community-based residency program administration and coordination. APhA SCDI® is ACPE-accredited and is comprised of a 2.75-hour home-study and an 8-hour live seminar for a total of 10.75-hours of CPE credit for pharmacists. You must register in advance to attend this program. https://learn.pharmacist.com/pages/21/apha-learning-library-home?ctl11=category_id-72 This is being held in conjunction with APhA's Annual Meeting , however, r egistration for annual meeting is not required to register for this program."
BCSCP - K.I.S.S.: Know Important Sampling Standards,2025-03-20,08:15:00,09:15:00,101AB - Music City Center,"The latest USP <797> standards mandate the establishment of Environmental Monitoring programs that include viable air and surface sampling. However, there are certain nuances to establishing such programs that are left for each site to determine. In this session, hear from an expert about creating a meaningful Environmental Monitoring program, including discussion on whether or not to outsource monitoring, when to identify growth, and how to establish impactful sampling sites to inform your institution's practices. ACPE Number: 0202-0000-25-096-L07-P/T Number of Hours: 1 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
DHRx - Digital Health: A Year in Review,2025-03-20,09:00:00,09:45:00,106AB - Music City Center,"To kick off our summit, listen to the major highlights in dig i t al health in 2024! Discover new innovations, policy changes, and learn about what’s coming next. ACPE Number: 0202-0000-25-113-L04-P/T Number of Hours: 0.75 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
2025 APhA DigitalHealth.Rx Summit,2025-03-20,09:00:00,17:00:00,106AB - Music City Center,"Join us in Nashville for the 2025 Digital Health.Rx Summit to explore the rapid advances at the intersection of health care and technology. This day will be full of sessions from pharmacists using digital health applications all day, every day to improve patient care. Don’t miss out on sessions such as Digital Health in 2024: A Year in Review, Practice Makes Perfect: Applications of Artificial Intelligence Panel, and more covering topics from clinical decision support tools to management of chronic disease states using telemedicine and wrapping up the day with the integration of digital health technology with pharmacy benefits managers. This day of innovation will provide ideas to consider how you can transform your practice and your role in digitally enabled care as a pharmacist, technician, or student pharmacist! You must register in advance to attend this program. https://learn.pharmacist.com/pages/21/apha-learning-library-home?ctl11=category_id-72 This is being held in conjunction with APhA's Annual Meeting , however, r egistration for annual meeting is not required to register for this program."
BCSCP - Don't Cry Over Spilled Hazardous Drugs,2025-03-20,09:30:00,10:30:00,101AB - Music City Center,"When it comes to handling hazardous drugs, protection from contamination is vital to a facility's operations. This includes using the right personal protective equipment (PPE), understanding decontamination protocols, knowing how to respond to spills, and performing wipe sampling to ensure your practices are safe. Join experts as they discuss these topics in hazardous compounding and their experience implementing best practices at their sites. ACPE Number: 0202-0000-25-097-L07-P/T Number of Hours: 1 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
